Block No,Threads,Block Size,Seq. Time,iBTM Time,TPS_Seq,TPS_iBTM,Speedup
21631060,4,243,23.526052,14.803002,10328.974874322304,16415.58921629545,1.5892757428526998
14002933,4,347,22.927886,14.533352,15134.408815535806,23876.11612241966,1.5776048085809797
14003024,4,144,10.152476,6.050188,14183.732126035067,23800.913293934005,1.6780430624635134
21631065,4,249,19.758955,10.87571,12601.881020529678,22895.056966395758,1.8167967884395595
21631115,4,174,17.897196,10.080299,9722.193353640425,17261.392742417658,1.7754628111725654
14003042,4,407,23.931119,13.562832,17007.144546813714,30008.482004348352,1.7644632772860416
14003053,4,25,0.509428,0.508723,49074.64842921865,49142.65720244613,1.001385822933109
21631117,4,166,13.287693,7.108972,12492.763040205698,23350.774204765472,1.8691440900315828
14003065,4,191,9.880343,6.02266,19331.312688233596,31713.561781671222,1.6405281055214804
14003070,4,77,5.085933,3.018081,15139.798341818503,25512.900415860277,1.6851545733862012
21631144,4,157,19.501202,10.138651,8050.78579258858,15485.294838534239,1.9234513546230165
14003088,4,321,24.213357,12.415845,13257.145632470541,25854.05987268688,1.9501980735100994
21631187,4,157,17.020437,11.839267,9224.204995441654,13260.956104799394,1.4376259104554363
21631212,4,139,11.809787,7.401632,11769.898982936778,18779.642111361387,1.5955652753338723
14003091,4,274,24.318084,14.807197,11267.335041691607,18504.515067909204,1.6423151525572326
14003093,4,38,5.636027,3.348277,6742.338175455866,11349.12075673548,1.6832618687163579
21631225,4,176,14.817728,7.852336,11877.664376077088,22413.712301664116,1.8870471156608684
14003105,4,98,5.794087,3.960766,16913.795046570754,24742.688661738663,1.4628703134696672
21631228,4,169,14.078715,7.606708,12003.936438801411,22217.232474284538,1.850828899965662
14003132,4,755,19.189461,16.539447,39344.51311581914,45648.44278046298,1.160223857544935
21631256,4,177,14.649369,8.350251,12082.43167333692,21196.9676121113,1.7543627131687418
14003172,4,84,7.975049,4.39871,10532.850644554033,19096.507839798487,1.8130426875152033
21631258,4,161,14.394955,8.111516,11184.47400495521,19848.32428364809,1.7746318937175245
21631269,4,147,10.929696,6.437621,13449.596402315308,22834.522255970023,1.6977849426053506
14003222,4,267,21.548792,10.949795,12390.485740453572,24384.01814828497,1.9679630531895802
21631299,4,69,2.725662,2.714296,25314.951010066547,25420.95629953402,1.0041874578159493
14003237,4,168,15.573272,8.163803,10787.713718735537,20578.644536131018,1.907600171145727
21631322,4,182,12.358447,7.527321,14726.76947192475,24178.58890301078,1.6418121400694883
14003248,4,24,2.348843,2.362912,10217.796591768798,10156.958871087878,0.9940459060684443
21631328,4,162,20.148335,10.76498,8040.366610938323,15048.797118062457,1.8716555906281294
14003316,4,504,22.740643,13.486475,22162.961706931506,37370.773311780875,1.6861813780101915
21631329,4,133,11.24206,6.857107,11830.571977022006,19395.93475790884,1.6394756564247868
14003351,4,94,7.920236,4.230411,11868.333216333453,22220.0632515375,1.8722143073096207
21631341,4,116,11.813769,6.623448,9819.050973486954,17513.536756082332,1.7836282552531553
14003391,4,96,8.71118,5.124524,11020.321012767501,18733.447243100043,1.6999003224494607
21631361,4,251,24.958236,13.964341,10056.800488624276,17974.353390539516,1.787283481547751
14003395,4,305,28.635389,14.490753,10651.156162048295,21047.905516021146,1.9761146297918404
14003409,4,261,14.422338,8.23414,18096.927141771328,31697.29929294377,1.7515293643294867
14003410,4,8,0.568659,0.565476,14068.18497553015,14147.3731864836,1.0056288861065723
21631375,4,215,23.524234,12.385481,9139.511195136045,17359.03514768623,1.899339557341374
14003412,4,83,5.085133,2.868574,16322.090297343257,28934.237011142122,1.7727041380142188
21631381,4,213,16.979518,9.751338,12544.525704439902,21843.15629301333,1.7412500725541458
14003414,4,691,22.608728,15.554545,30563.417809263752,44424.314565292654,1.4535126549828363
21631391,4,110,10.873362,6.772318,10116.466277863276,16242.59227047519,1.6055598688661696
21631395,4,162,14.223337,8.849751,11389.732240753347,18305.599784671907,1.607201942743926
14003430,4,428,24.677138,13.309119,17343.988593815055,32158.402070039345,1.8541526302379592
21631399,4,157,12.921796,6.984548,12150.01382160808,22478.190428356997,1.8500547207922402
14003485,4,211,15.583354,9.276424,13540.088994962189,22745.833954980928,1.6798880689369091
14003500,4,120,9.683488,5.594984,12392.228915861722,21447.782513765902,1.730744538322183
21631403,4,226,24.216058,13.029316,9332.650260418108,17345.4999479635,1.8585824459242528
21631405,4,141,11.028064,6.5966,12785.562361625756,21374.647545705364,1.6717800078828489
14003518,4,343,26.359418,14.926848,13012.426905631983,22978.729333882144,1.7659065061826853
21631421,4,148,16.537623,8.911373,8949.29095916626,16607.990710297956,1.8557884402324984
14003541,4,102,8.562023,4.768867,11913.072412909893,21388.728182186667,1.7953998297708869
14003549,4,110,7.051299,4.836644,15599.962503362854,22743.04248979251,1.457890843320286
21631449,4,204,17.869896,10.073237,11415.847075998652,20251.682751036235,1.7739973754216245
14003561,4,169,7.679736,5.335336,22005.964788372934,31675.60581001834,1.4394100015444202
14003570,4,75,4.67771,3.022205,16033.486470944117,24816.317887105608,1.5477805112492369
21631466,4,172,16.422641,8.975971,10473.345913120796,19162.272248874247,1.8296227784158394
21631489,4,190,17.711105,11.682634,10727.732685227713,16263.455655633823,1.5160198462093395
14003573,4,383,34.374718,17.767718,11141.909585992822,21555.947702456782,1.9346726462002608
14003587,4,133,11.483836,7.061801,11581.495939161792,18833.72244559143,1.6261908258247435
