Block No,Threads,Block Size,Seq. Time,iBTM Time,TPS_Seq,TPS_iBTM,Speedup
14004599,16,170,14.240737,8.190087,11937.584410132706,20756.8002635381,1.738777255968099
14004635,16,436,32.958662,10.22546,13228.692354076753,42638.66857823511,3.2231960224772283
14004651,16,106,5.747108,1.496826,18444.05916854181,70816.5144111607,3.8395297783443096
14004653,16,435,30.465861,9.373755,14278.276921174163,46406.162738411665,3.2501234563950097
14004713,16,132,6.787819,2.074687,19446.59985777464,63624.055098431716,3.271731591319558
14004715,16,81,3.550239,1.123744,22815.36538807669,72080.4738445767,3.159295177549335
14004782,16,373,22.93908,4.397078,16260.460314886212,84829.06148128372,5.2168917631208735
14004788,16,53,3.662253,3.649437,14471.965754414017,14522.788035524385,1.003511774555911
14004792,16,350,32.071466,9.175543,10913.127575770935,38144.8814527925,3.4953207673921862
14004794,16,207,22.16226,4.298994,9340.20266886139,48150.79993133277,5.155220035198932
14004810,16,137,5.887533,1.939966,23269.50863799829,70619.79436753015,3.0348640130806417
14004814,16,30,3.301321,3.304684,9087.271428619028,9078.023798947192,0.998982353532138
14004832,16,23,0.264612,0.2635,86919.7164149774,87286.5275142315,1.0042201138519924
14004833,16,205,18.558998,3.975893,11045.854954022841,51560.7437121673,4.6678816557689045
14004850,16,253,12.198602,2.681081,20740.081527375023,94364.92220861661,4.549881931952075
14004854,16,62,6.978518,2.088462,8884.40783558916,29686.917932909484,3.341462760634381
14004861,16,177,14.424049,4.637447,12271.172955665916,38167.552103560425,3.1103426087672807
14004890,16,322,18.245904,5.842223,17647.79645886551,55116.006355799844,3.123109816246316
14004892,16,154,5.949689,1.941849,25883.705854205153,79305.85745853565,3.063929790627387
14004894,16,88,11.236431,5.818733,7831.668258364244,15123.56727830612,1.9310786385970966
14004977,16,104,6.327955,1.620237,16435.009414573902,64188.14037699423,3.9055736907625245
14004983,16,185,13.263894,3.292338,13947.63860447015,56191.07151209869,4.028715763691334
21631009,16,177,14.012329,4.045325,12631.733097331644,43754.21010672814,3.4638326957661003
21631021,16,149,15.016732,7.153047,9922.265377047417,20830.28393354608,2.09934759271119
21631037,16,221,15.817987,3.391699,13971.436441312031,65159.083987110884,4.66373549067886
21631051,16,108,16.920792,8.076875,6382.679959661464,13371.508163739072,2.094967670045655
21631060,16,243,22.966351,5.311508,10580.696950943578,45749.71928875943,4.323885231839998
21631065,16,249,19.855166,4.689218,12540.81683326143,53100.53829870993,4.234216877952784
21631115,16,174,17.983042,3.765849,9675.782328707233,46204.72036982895,4.775295557522354
21631117,16,166,13.001286,2.403658,12767.967722577596,69061.40557433711,5.408958345987657
21631144,16,157,19.209315,3.689621,8173.118094008037,42551.795970372026,5.206311163124885
21631187,16,157,16.625103,7.055897,9443.550515145682,22250.89170094178,2.3561997857961927
21631212,16,139,11.637527,2.927362,11944.118368103464,47483.02396492132,3.9754314635497763
21631225,16,176,14.452401,4.290384,12177.90732487979,41021.96912910359,3.36855652081492
21631228,16,169,13.824806,2.662247,12224.403004280855,63480.21051390048,5.192908847300796
21631256,16,177,14.352511,3.211245,12332.336829423088,55118.80906003746,4.469453747689759
